delo,št_oglasa,lokacija,plača_neto[€/h],plača_bruto[€/h],opis,prosta_mesta,trajanje,delovnik,začetek_dela
GOSTINSKA DELA,435881,TRBOVLJE,6.2,7.21,"V prijetnem lokalu potrebujejo pomoč polnoletnih, zanesljivih in komunikativnih oseb. Izkušnje so zaželene. Nedelje in prazniki so prosti. Interesenti naj pokličejo na kontakt podjetja. ",3,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,po dogovoru
PRODAJA SLADOLEDA,435880,LJUBLJANA CENTER,7.31,8.5,"Prodaja sladoleda. Med vikendom je urna postavka 9,5 € bruto. Zaželene so izkušnje. ",3,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,po dogovoru
PROGRAMIRANJE,435879,OD DOMA,11.0,12.78,"Agencija, ki se primarno ukvarja z razvojem v Webflow okolju, potrebuje več oseb za programiranje. So edini Webflow Enterprise partner v Sloveniji in en izmed dveh v regiji ter sodelujejo izključno s tujimi podjetji, pretežno v ZDA. Znanja in lastnosti, potrebne za delo: Webflow razvoj, Front-end razvoj (Javascript, html, css), poznavanje REST API, natančnost in zanesljivost. ",3,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,1. 9. 2024
STREŽBA,435878,DOL PRI LJUBLJANI,8.0,9.3,Podjetje išče polnoletno osebo za občasno delo v strežbi pijače. Nedelje in prazniki so prosti. ,1,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,po dogovoru
DELO NA CNC STROJU,435877,RADOMLJE,7.5,8.72,Posluževanje CNC obdelovalnih strojev v kovinarski branži. Prijavijo se lahko polnoletne osebe z izobrazbo tehnične smeri. Izkušnje niso pogoj. ,5,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,2. 9. 2024
ŽIVILSKI TEHNOLOG,435876,LJUBLJANA,10.33,12.0,"Iščejo živilskega tehnologa/organizatorja prehrane (m/ž). Delo obsega: pomoč pri izpeljavi novih projektov z izdelavo projektne dokumentacije, raziskavo in analizo tržnega prostora v gostinstvu, pomoč pri pripravi, pregledu in kontroli jedilnikov, pomoč pri pripravi analiz in poročil s področja prodaje in marketinga. Pričakovanja: izobrazba - živilski tehnolog/ekonomist, splošna kuharska znanja in razgledanost, komunikativnost. Možnost kasnejše zaposlitve. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,2. 9. 2024
STREŽBA,435875,DORNAVA,8.0,9.3,"V urejenem lokalu potrebujejo pomoč komunikativnih, zanesljivih oseb. Gre za delo v dopoldanskem in popoldanskem času, po dogovoru in potrebi. Interesenti naj pokličejo, pošljejo vlogo na kontakt podjetja, ali prijavo oddajo s klikom na gumb Prijavi se na delo. ",5,PO DOGOVORU,IZMENSKO,1. 9. 2024
POMOČ V ZOBOZDRAVSTVENI ORDINACIJI,435874,LJUBLJANA,6.45,7.5,Iščejo absolventa/ko zdravstvene nege ali študenta/ko dentalne medicine za delo v sterilizaciji in asistenco v zobozdravstveni ambulanti. Delo poteka v specialistični ambulanti in v ordinacijskih dvoranah. Začetek dela je takoj. ,1,PO DOGOVORU,PO DOGOVORU,26. 8. 2024
SOBAR/ICA,435872,PORTOROŽ,8.0,9.3,Podjetje išče več oseb za čiščenje in pospravljenje hotelskih sob. Nudijo fleksibilen delovnik in zagotovljeno prehrano. ,5,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,po dogovoru
PAKIRANJE,435871,GROSUPLJE,7.43,8.64,"Si želiš dinamičnega dela v super ekipi? Iščejo polnoletne študente/ke za pomoč pri delu v spletni trgovini. Delo zajema obdelavo spletnih naročil in pakiranje. V kolikor si za delo zainteresiran/a, hitro napiši prijavo. ",5,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,26. 8. 2024
