delo,št_oglasa,lokacija,plača_neto[€/h],plača_bruto[€/h],opis,prosta_mesta,trajanje,delovnik,začetek_dela 
DELO V PROIZVODNJI,435498,NOVO MESTO,6.2,7.21,"Pomožna dela v proizvodnji kartonske embalaže. Delo zajema opravljanje pomožnih proizvodnih del, sestavljanje, pakiranje in sortiranje kartonskih elementov. Predhodna znanja niso potrebna. Delovnik v dopoldanskem času med tednom, po dogovoru in potrebi. Možnost dela za daljše časovno obdobje. Pričakujejo resne in delavne kandidate.   ",1,PO DOGOVORU,DOPOLDAN,2. 9. 2024
PAKIRANJE,435497,SLOVENSKE KONJICE,6.2,7.21,"Podjetje išče polnoletno osebo za pomoč v pripravljalnici sendvičev. Delo obsega pripravo surovin, sestavljanje sendvičev in solat, pakiranje ter komisioniranje izdelkov. Delo poteka med nedeljo in četrtkom, po potrebi in dogovoru. ",1,POČITNIŠKO DELO,DOPOLDAN,po dogovoru
PRODAJA,435496,MARIBOR,8.61,10.0,"Iščejo pozitivno osebo za promocijo in prodajo tehničnih izdelkov. Pogoji so starost nad 18. let, organiziranost, točnost, zanesljivost, odgovornost in pripravljenost za učenje. Zaželene so izkušnje z delom v prodaji z zabavno elektroniko, izkušnje z delom z ljudmi ter poznavanje zabavne elektronike. Delo poteka v popoldanskem času od 16. 00 dalje in sobote. Prijave + CV sprejemajo elektronsko. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,20. 9. 2024
LEPLJENJE,435495,RADEČE,7.34,8.53,Ročno lepljenje aluminijaste folije na stiropor izdelek velikosti približno 60 x 30 cm.   Zaželene so ročne spretnosti. ,1,POČITNIŠKO DELO,DOPOLDAN,po dogovoru
POLNJENJE POLIC IN BLAGAJNIK,435494,LJUBLJANA RUDNIK,7.31,8.5,"Iščejo osebi za pomoč pri prodaji, polnjenje polic, ter delo na blagajni. Obvezna polnoletnost in znanje slovenskega jezika. ",2,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,po dogovoru
POMOČ UPORABNIKOM,435493,RAČE,7.23,8.4,"Pomoč v customer service oddelku. Potrebno je tekoče znanje angleškega jezika, zaželen pa je še kak tuj jezik, kot je francoščina, italijanščina ali španščina. Prijavo oddaj s klikom na gumb Prijavi se na delo. ",2,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,26. 8. 2024
KNJIGOVODSKA DELA,435492,GROSUPLJE,7.47,8.68,"Delovna opravila: vodenje materialnega knjigovodstva in porabe živil,   pomoč ali samostojno vodenje knjige prejetih računov in knjige izdanih računov, vodenje knjigovodske dokumentacije in materialnega knjigovodstva, knjiženje plačil, skrb za opominjanje v primeru zamude plačil ipd. ",1,PO DOGOVORU,DOPOLDAN,23. 9. 2024
STREŽBA,435491,LJUBLJANA,8.5,9.88,"Iščejo polnoletni osebi za delo v lokalu poslovne stavbe. Izkušnje s pripravo kave so obvezne. Delo poteka med ponedeljkom in petkom v dopoldanskem času, po potrebi in dogovoru. Iščejo odgovorni osebi, ki iščeta občasno delo za dlje časa. ",2,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,26. 8. 2024
PRODAJA,435490,MURSKA SOBOTA,6.2,7.21,"Potrebujejo polnoletno osebo za prodajo modne obutve, svetovanje strankam in delo na blagajni. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,po dogovoru
KOMISIONIRANJE,435489,LJUBLJANA,7.37,8.56,"Podjetje išče osebo za delo v skladišču. Delovne naloge: komisioniranje blaga na podlagi naročil v sistemu, izdaja blaga in komunikacija s strankami na prevzemnem mestu, deklariranje blaga, zlaganje na police, samostojno pakiranje, skrb za urejenost in čistočo v skladišču ter druga opravila. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,po dogovoru
DELO NA PREDSTAVI,435488,LJUBLJANA IN PO SLOVENIJI,6.5,7.55,"Na zavodu iščejo odgovorne in motivirane polnoletne osebe za samostojno izvajanje programov s področja varne mobilnosti. Izvajanje lutkovnih in igranih predstav po vrtcih in OŠ, s tematiko varnosti v cestnem prometu (trajanje cca 30 minut), prevoz organiziran. Večina aktivnosti poteka med tednom. Plačilo je realizirano glede na projekt (7,55 €/h bruto). Delo je občasno in poteka do konca šolskega leta 2024/25 (nadaljevanje v šolskem letu 2025/26). Datumi aktivnosti so znani 1 mesec vnaprej. ",5,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,9. 9. 2024
DELO V SLAŠČIČARNI,435487,KOPER,coerce,coerce,Iščejo osebo za pomoč v strežbi. ,1,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,po dogovoru
POMOČ V TRAFIKI,435486,CELJE,6.2,7.21,"Iščejo polnoletno osebo za pomoč v trafiki. Delo je prijetno in ne bo pretežko. Po obdobju uvajanja nudijo ob urni postavki dodatno stimulacijo. Zaželeno je, da si iz bližnje okolice Celja. Za dodatne informacije pokliči na kontakt podjetja. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,po dogovoru
VNOS PODATKOV V RAČUNALNIK,435484,LJUBLJANA BTC,8.61,10.0,"Trgovsko podjetje, ki ponuja artikle za dom in vrt, potrebuje osebo za administrativna dela v storitvenem centru (vnos podatkov v računalnik, delo z dobavnicami ipd. ). Pogoj je znanje Word-a in Excel-a ter znanje slovenskega jezika. Delo je dvoizmensko, delovna je tudi vsaka druga sobota, delovnik po dogovoru oz. po potrebi. Pošlji prijavo. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,po dogovoru
BLAGAJNIK,435482,LJUBLJANA BTC,7.74,9.0,"Trgovsko podjetje, ki ponuja artikle za dom in vrt, potrebuje polnoletno osebo za delo na blagajni. Delo je izmensko (nedelje so proste), po potrebi in dogovoru. Fleksibilen delovnik. Možnost povišanja urne postavke glede na uspešnost. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,po dogovoru
ELEKTROINŠTALACIJE,435481,ŠKOFJA VAS,8.0,9.3,"Podjetje išče študenta/ko za pomoč pri izvedbi elektro inštalacij ter montaži elektro opreme, klima naprav in toplotnih črpalk. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,po dogovoru
STREŽBA,435480,KOZINA,7.0,8.13,Podjetje išče osebo za strežbo. Dela se tudi med vikendi. ,1,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,30. 8. 2024
MONTAŽA,435479,RADOVLJICA Z OKOLICO,7.6,8.83,"Podjetje išče osebo za pomoč pri montaži dimnikov, kaminov. Delo je terensko v dopoldanskem času.  Prijave sprejemajo preko telefona. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,2. 9. 2024
POUČEVANJE PLESA,435477,KOPER,8.61,10.0,Potrebujejo študenta/ki pedagoške fakultete s predznanjem plesa za poučevanje otrok in mladine. Do konca šolskega leta uro do dve na teden oz. s septembrom 2024 po potrebi in dogovoru. Pogoj je obvladanje jazz plesa in odgovornost do dela. ,2,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,9. 9. 2024
STREŽBA HRANE IN PIJAČE,435476,VRHNIKA,9.0,10.46,"Strežba hrane in pijače v piceriji, urna postavka odvisna od izkušenj. ",2,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,po dogovoru
RAZVOZ HRANE,435475,VRHNIKA,7.5,8.72,"Iščejo osebe za razvoz pic. Nezahtevno delo, urna postavka kasneje višja. ",3,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,po dogovoru
POMOČ V TRGOVINI,435474,LJUBLJANA BTC,7.5,8.72,"V prijetnem kolektivu iščejo osebe za pomoč pri prodaji šivalnih strojev, metrskega blaga, pribora in materiala za šivanje, pletenje in kvačkanje. Delo obsega delo v trgovini, prodajo, svetovanje, označevanje, pripravo in pošiljanje izdelkov, urejanje trgovine ipd. Zaželeno je poznavanje šivalnih strojev, šivanja, pletenja in kvačkanja, vendar ni pogoj. Pričakujejo veselje do ročnih del. ",3,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,1. 9. 2024
SNEMANJE,435473,LJUBLJANA/OD DOMA,10.0,11.62,"Iščejo študente/ke za slovenščino in/ali angleščino pri projektu e-Matura, kjer so razvili digitalno platformo, na kateri mladi inštruktorji v obliki zanimivih videov, kvizov in vaj dijakom pomagajo uspešno opraviti maturo. Pri predmetih slovenščina in angleščina bodo snemali nove videe za platformo in iščejo dobre retorike, ki jim je domače nastopati in razlagati maturitetno snov pri slovenščini ali angleščini. Delo poteka remote, opremo zagotovijo oni. Več o platformi na povezavi. ",3,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,po dogovoru
PROJEKTNO DELO,435472,KAMNIK,6.2,7.21,"Iščejo dijaka/študenta (m/ž), ki bi vodil/a projektno delo v njihovem klubu. Delo zajema vodenje projektne dokumentacije in pomoč aktivistom pri izvedbi projekta. Pridruži se ekipi kjer se lahko naučiš veliko novega in se hkrati zabavaš. :)",1,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,1. 9. 2024
PISNO POROČANJE,435471,KAMNIK,6.2,7.21,"Iščejo polnoletnega kandidata/ko, ki ima stalno prebivališče v okolici Kamnika.  Delo bi zajemalo udeleževanje sej, katere potekajo v Ljubljani. So zelo raznolika in odprta ekipa, ki išče nove člane. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,1. 9. 2024
DELO V ZDRAVSTVU,435469,ŠKOFJA LOKA,10.0,11.62,V kolektivu očesnega centra iščejo osebo za delo zdravstvenega tehnika/medicinske sestre za pomoč pri delu v specialistični okulistični ambulanti in v optiki. Iščejo kandidata/ko z izobrazbo zdravstvenega tehnika ali z delovnimi izkušnjami na tem področju. Nudijo konkurenčno plačilo v stimulativnem okolju z možnostjo pridobivanja novih znanj in kompetenc. ,1,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,2. 9. 2024
DELO NA BENCINSKEM SERVISU,435468,DOMŽALE,6.6,7.67,Iščejo študenta/ki za pomoč pri prodaji oz. ostalih lažjih delih na bencinskem servisu. Razpored dela po dogovoru oz. prilagojen študijskim obveznostim. Možnost kasnejše zaposlitve. Pogoj je polnoletnost. ,2,PO DOGOVORU,PO DOGOVORU,po dogovoru
POMOČ PRI PRODAJI,435467,DOMŽALE,6.6,7.67,Iščejo enega ali več polnoletnih dijakov/inj oz. študentov/k za pomoč pri prodaji oz. pri pripravi hrane in ostalih lažjih delih. Delovnik po dogovoru oz. prilagojen študijskim obveznostim. Izkušnje niso pogoj. Možnost kasnejše redne zaposlitve.     ,3,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,po dogovoru
FIZIČNA DELA,435466,MARIBOR,8.0,9.3,"Potrebujejo študenta/ko za razna fizična dela. Gre za prenos materialov, trganje talnih oblog, sesanje, mešanje izravnalne mase . . . Delo se prične ob 7. uri. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,po dogovoru
ADMINISTRATIVNA DELA,435465,KOPER,7.74,9.0,"Iščejo odgovorno, komunikativno ter zanesljivo polnoletno osebo za opravljanje lažjih administrativnih nalog v računovodskem servisu: kontaktiranje kupcev in dobaviteljev z namenom pridobitve dokumentacije, skeniranje, pošiljanje in arhiviranje dokumentacije, ter druga lažja administrativna dela. Pričakujejo: vozniški izpit B kategorije, aktivno znanje italijanskega jezika.   ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,26. 8. 2024
PRODAJA,435463,LJUBLJANA RUDNIK,7.7,8.95,Iščejo študenta/ko za prodajo copat na prodajnem otoku v nakupovalnem centru. ,1,POČITNIŠKO DELO,IZMENSKO,9. 9. 2024
POMOČ PRI PRODAJI,435462,LJUBLJANA,6.5,7.55,"Iščejo študenta/ki za pomoč pri prodaji v trgovini, skladiščenju robe ter ostala dela. Delo je večinoma v popoldanskem času in ob sobotah. Pričakujejo odgovornost, natančnost in komunikativnost. Začetek dela je lahko takoj. Pogoj je starost nad 18 let. ",2,PO DOGOVORU,POPOLDAN,po dogovoru
POMOČ NA PODROČJU MARKETINGA,435461,LJUBLJANA BTC,7.31,8.5,"Bi rad/a delal/a v ustvarjalnem in energičnem timu marketinga? Si prilagodljiv/a in rad/a sprejemaš nove izzive? Znaš uspešno upravljati več projektov hkrati? Potem je to morda prava priložnost zate. Če te opisuje zgoraj navedeno, se prijavi še danes. Možnost tudi kasnejše redne zaposlitve. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,26. 8. 2024
STREŽBA,435438,LUKOVICA,8.0,9.3,"Iščejo osebi za delo v strežbi. Zaželene so izkušnje, pričetek dela takoj. ",2,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,po dogovoru
ADMINISTRATIVNA DELA,435460,LJUBLJANA,6.2,7.21,"Iščejo študenta/ko za pomoč v pisarni bonitetni modeli in bilančne analize na področju izdelave bilančnih analiz. Delo obsega pomoč pri administrativnih delih, vnosih bilanc v sistem, delo z Excelom. Iščejo odgovorno in zanesljivo osebo, katero so sodelavci pripravljeni naučiti tudi zahtevnejših opravil in tako zagotoviti možnost razvoja. Prijave z življenjepisi sprejemajo do 15. 9. 2024 na mail. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,po dogovoru
POMOČ PRI PRODAJI,435459,LJUBLJANA ŠIŠKA,6.2,7.21,"V prihodnjih mesecih, ko pričakujejo povečan obseg dela, iščejo prijetno in komunikativno osebo, ki bi se jim pridružila v trgovini s francosko naravno kozmetiko. Potrebna je poslušnost in močna volja do dela in učenja, saj delo obsega poznavanje kozmetičnih izdelkov in njihovih sestavin. Prošnjo z življenjepisom pošljite na e-naslov. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,po dogovoru
POUČEVANJE,435458,LJUBLJANA,9.3,10.81,"Poučevanje saksofona - zasebna glasbena šola išče dodatne študent-e/ke Akademije za glasbo. Izvajajo javno veljavne izobraževalne programe, ob koncu šolskega leta potekajo izpiti in ostali identični procesi, kot v javnih glasbenih šolah, s čimer boste pridobili odlične izkušnje za kasnejšo redno zaposlitev. Študent-om/kam omogočajo dodatne brezplačne seminarje in izobraževanja. Nastopi, urejanje dokumentacije, sestanki in ostalo delo se plača dodatno po enaki urni postavki",1,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,2. 9. 2024
POUČEVANJE,435457,LJUBLJANA,9.3,10.81,"Poučevanje harmonike - zasebna glasbena šola išče dodatne študent-e/ke Akademije za glasbo. Izvajajo javno veljavne izobraževalne programe, ob koncu šolskega leta potekajo izpiti in ostali identični procesi, kot v javnih glasbenih šolah, s čimer boste pridobili odlične izkušnje za kasnejšo redno zaposlitev. Študent-om/kam omogočajo dodatne brezplačne seminarje in izobraževanja. Nastopi, urejanje dokumentacije, sestanki in ostalo delo se plača dodatno po enaki urni postavki",1,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,2. 9. 2024
POUČEVANJE,435456,LJUBLJANA,9.3,10.81,"Poučevanje flavte - zasebna glasbena šola išče dodatne študent-e/ke Akademije za glasbo za poučevanje flavte. Izvajajo javno veljavne izobraževalne programe, ob koncu šolskega leta potekajo izpiti in ostali identični procesi, kot v javnih glasbenih šolah, s čimer boste pridobili odlične izkušnje za kasnejšo redno zaposlitev. Študent-om/kam omogočajo dodatne brezplačne seminarje in izobraževanja. Nastopi, urejanje dokumentacije, sestanki in ostalo delo se plača dodatno po enaki urni postavki. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,2. 9. 2024
POUČEVANJE,435455,LJUBLJANA,9.3,10.81,"Poučevanje violončela -zasebna glasbena šola išče dodatne študent-e/ke Akademije za glasbo. Izvajajo javno veljavne izobraževalne programe, ob koncu šolskega leta potekajo izpiti in ostali identični procesi, kot v javnih glasbenih šolah, s čimer boste pridobili odlične izkušnje za kasnejšo redno zaposlitev. Študent-om/kam omogočajo dodatne brezplačne seminarje in izobraževanja. Nastopi, urejanje dokumentacije, sestanki ipd. delo se plačajo dodatno po enaki urni postavki. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,2. 9. 2024
POUČEVANJE,435454,LJUBLJANA,9.3,10.81,"Poučevanje klavirja - zasebna glasbena šola išče dodatne študent-e/ke Akademije za glasbo za poučevanje klavirja. Izvajajo javno veljavne izobraževalne programe, ob koncu šolskega leta potekajo izpiti in ostali identični procesi, kot v javnih glasbenih šolah, s čimer boste pridobili odlične izkušnje za kasnejšo redno zaposlitev. Študent-om/kam omogočajo dodatne brezplačne seminarje in izobraževanja. Nastopi, urejanje dokumentacije, sestanki in ostalo delo se plača dodatno po enaki urni postavki. ",2,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,2. 9. 2024
POUČEVANJE,435452,LJUBLJANA,9.3,10.81,"Poučevanje kitare - zasebna glasbena šola išče dodatne študent-e/ke Akademije za glasbo za poučevanje kitare. Izvajajo javno veljavne izobraževalne programe, ob koncu šolskega leta potekajo izpiti in ostali identični procesi, kot v javnih glasbenih šolah, s čimer boste pridobili odlične izkušnje za kasnejšo redno zaposlitev. Študent-om/kam omogočajo dodatne brezplačne seminarje in izobraževanja. Nastopi, urejanje dokumentacije, sestanki in ostalo delo se plača dodatno po enaki urni postavki. ",2,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,2. 9. 2024
INVENTURA,435451,NOVO MESTO,6.28,7.3,"Iščejo večje število oseb za pomoč pri skeniranju in štetju na inventuri. Inventura traja 1 dan v dopoldanskem času. Zainteresirane prosijo, da jih kontaktirajo preko e-prijave. ",15,"1 DAN, 9. 9. 2024",DOPOLDAN,9. 9. 2024
PRODAJA,435450,NOVO MESTO,6.2,7.21,"Vidiš izziv v delu s strankami in se ukvarjaš z outdoor športi? Si odgovorna in vestna oseba? Podjetje išče polnoletno osebo za delo v trgovini s pohodniško, plezalno, treking in drugo outdoor opremo. Želijo si dolgoročnega sodelovanja, po dogovoru in potrebi, z možnostjo kasnejše redne zaposlitve. Pošljite e-prijavo. ",1,PO DOGOVORU,IZMENSKO,15. 9. 2024
STREŽBA,435448,LJUBLJANA,7.5,8.72,"Iščejo osebi za strežbo slaščic in pijač. Delo poteka med tednom, vikende in praznike zaprto. Delovnik je med 16. in 20. uro, po dogovoru in potrebi. Pogoj je starost nad 18 let. Izkušnje so zaželene. ",2,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,po dogovoru
VZDRŽEVANJE RAČUNALNIŠKE OPREME,435447,MARIBOR,6.45,7.5,"Delo obsega: nameščanje in vzdrževanje strojne ter programske opreme pri uporabnikih, podpora in svetovanje iz področja IT varnostnih rešitev (antivirus, požarne pregrade, zaščita elektronske pošte,…), komunikacija z dobavitelji IT programske in strojne opreme (tehnična podpora, dodatne informacije o rešitvah,…). Zaželeno: študent/ka tehnične smeri (informatika, elektrotehnika) oz. druga ustrezna smer, poznavanje administracije MS Windows, poznavanje MS Office programov. Prijava do 1. 9. 2024.   ",1,PO DOGOVORU,DOPOLDAN,1. 9. 2024
PROCESIRANJE SPLETNIH NAROČIL,435445,LJUBLJANA (ZALOG),7.0,8.13,"Iščejo polnoletne osebe za pomoč pri pakiranju spletnih naročil. Možnost daljšega, občasnega sodelovanja.     .         . ",5,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,po dogovoru
POMOČ PRI PRODAJI,435442,LJUBLJANA,7.0,8.13,"Iščejo študenta/ki za promocijo in prodajo kozmetičnih izdelkov. Delo poteka po potrebi in vnaprej dogovorjenem urniku. Gre za samostojno delo v prodaji in delo s strankami. Nudijo sproščeno delovno okolje, pridobitev prodajnih veščin in znanja o kozmetiki. Pogoj je znanje slovenskega jezika. ",2,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,2. 9. 2024
DELO V KNJIGARNI,435441,SEŽANA,6.2,7.21,Iščejo polnoletno osebo za pomoč pri prodaji v knjigarni. Pogoj je afiniteta do literature. ,1,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,9. 9. 2024
PAKIRANJE,435440,ŽALEC,6.2,7.21,"Podjetje potrebuje štiri polnoletne osebe za pomoč pri obdelavi spletnih naročil. Delo obsega nabiranje izdelkov, pakiranje in vnos podatkov v računalnik. Nudijo tudi možnost kasnejše redne zaposlitve. Vse zainteresirane kandidate/ke vabijo k prijavi, priložite tudi življenjepis. ",4,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,2. 9. 2024
DELO V PROIZVODNJI,435439,KAMNIK,7.12,8.28,"Podjetje išče polnoletne osebe za 2-izmensko delo v proizvodnji sveč (srednje težko fizično delo). Dela se po potrebi in dogovoru. V dopoldanskem času pokličite na telefon ali pošljite prijavo, v kateri obvezno navedite svojo telefonsko številko. ",3,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,po dogovoru
PROGRAMIRANJE,435437,MARIBOR,8.61,10.0,"V ekipi potrebujejo pomoč pri programiranju. Razvoj je v programskem jeziku Java.   Obvezno je osnovno znanje Jave. Zaželeno je napredno znanje programiranja v Javi, poznavanje knjižnic in raznih orodjih. Del projekta je napisan v Flutterju. Razvijajo poslovno aplikacijo, ki jo uporabljajo tako podjetja, kot njihovi končni uporabniki, zato je delo zelo raznoliko in odlična priložnost za nadgradnjo vašega znanja. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,po dogovoru
PRODAJA,435436,LJUBLJANA,6.5,7.55,"Iščejo polnoletne osebe za prodajo sladic ter toplih in hladnih napitkov, ki se bodo vklopile v že obstoječ kolektiv. So majhna ekipa in jim je pomemben medsebojni odnos in timsko delo. Obvezni jezik slovenščina, zaželena tudi angleščina. Delo je večinoma popoldansko in med vikendi. Izkušnje v prodaji so zaželene niso pa obvezne. ",3,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,1. 10. 2024
KONSTRUIRANJE,435435,LJUBLJANA,9.9,11.5,"Podjetje išče absolventa/ki strojništva (zaželena konstruktorska smer) za pomoč pri 3D konstruiranju in projektnem delu. Obvezno je poznavanje CAD modelirnih programov (npr. Creo, SolidWorks ipd. ). Nudijo stimulativno plačilo in dodatne nagrade. K prijavi dodaj CV. ",2,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,1. 9. 2024
PRODAJA,435434,LJUBLJANA CENTER,6.2,7.21,"Za delo v trgovini iščejo polnoletni, zanesljivi in odgovorni osebi za prodajo ženskih kolekcij spodnjega perila in oblačil. Če si komunikativna in živahna oseba, potem bodo veseli, če se pridružiš njihovemu timu. Nudijo možnost povišanja urne postavke po opravljenem uvajanju. Interesenti naj oddajo prijavo. ",2,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,2. 9. 2024
DELO V RENT A CAR AGENCIJI,435433,ZGORNJI BRNIK,7.0,8.13,"V podjetju iščejo osebo za delo v rent a car agenciji. Delo zajema pripravo vozil, izdajo in sprejem vozil v poslovalnici in na terenu, administracijsko delo ter komunikacijo s strankami. Pogoja sta znanje angleškega jezika in vozniški izpit B kategorije. Delo je fleksibilno in poteka tudi med vikendi in prazniki, po potrebi in dogovoru. Izkušnje niso potrebne. Nudijo možnost kasnejše zaposlitve. ",1,PO DOGOVORU,IZMENSKO,po dogovoru
STREŽBA HRANE IN PIJAČE,435432,KRANJ,8.0,9.3,"Podjetje potrebuje osebo za pomoč v strežbi jedi in pijač. Dela se med tednom popoldan, po dogovoru lahko tudi ob sobotah. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,24. 9. 2024
DELO V DROGERIJI,435430,PTUJ,6.88,8.0,"Za pomoč pri prodaji v drogeriji iščejo polnoletno osebo. Zaželeno je znanje o kozmetiki. Delo poteka večinoma popoldan (četrtke, petke, sobote), delovnik po dogovoru in potrebi. Prijave sprejemajo na e-mail. ",1,PO DOGOVORU,POPOLDAN,1. 9. 2024
ETIKETIRANJE,435429,LJUBLJANA,6.2,7.21,Etiketiranje prehrambenih proizvodov. Zaželene so ročne spretnosti in natančnost. ,3,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,po dogovoru
FIZIČNA DELA,435427,ČRNOMELJ,8.61,10.01,"Iščejo polnoletno osebo za pranje sončnih panelov (talna sončna elektrarna). Začetek del je predvidoma v začetku septembra in traja približno 3 tedne, največ en mesec. ",1,CCA. 1 MESEC,DOPOLDAN,2. 9. 2024
POMOČ V FRIZERSKEM SALONU,435426,KRANJ,6.2,7.21,Iščejo osebo za pomoč v frizerskem salonu. Kandidat/ka naj ima že zaključeno srednjo frizersko šolo ali pa zaključen vsaj 2. letnik frizerske šole. Prijave sprejemajo elektronsko. ,1,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,1. 9. 2024
POUČEVANJE,435425,LJUBLJANA,13.77,16.0,"Za poučevanje fizike (6 ur/teden; dva oddelka) iščejo absolvente/ke oz. študente/ke zadnjega letnika študijskega programa fizike ali magistrski študijski program druge stopnje poučevanje (smer predmetno poučevanje – fizika), pedagoška fizika, izobraževalna fizika ali fizika. ",1,PO DOGOVORU,DOPOLDAN,2. 9. 2024
PRODAJA,435423,LJUBLJANA - BTC,6.2,7.21,"Če si želite dela v dinamični ekipi, radi delate s strankami in s priznanimi mednarodnimi športnimi blagovnimi znamkami, potem vas vabijo, da se jim pridružite. Iščejo pomoč pri prodaji v trgovini s športno opremo. Pogoji: polnoletnost, zmožnost komuniciranja v slovenščini in pripravljenost za delo kot občasna pomoč za dlje časa. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,po dogovoru
STREŽBA HRANE IN PIJAČE,435422,RIBNICA,8.5,9.88,"Iščejo sodelavce (m/ž), ki se bodo pridružili ekipi v popolnoma novi gostilni. Kaj vam ponujajo: delo v mladem in prijetnem kolektivu, možnost za strokovni in osebni razvoj, stimulativno plačilo, delo v urejenem in sodobnem okolju. Od vas pričakujejo: da ste ljubitelji hrane in pijače, da imate veselje do dela z ljudmi, sposobnost samostojnega dela in dela v ekipi, odlične komunikacijske sposobnosti. Če ste motivirani in imate vse potrebne lastnosti, vas vabijo, da jim pošljete vaš CV. ",4,PO DOGOVORU,PO DOGOVORU,30. 9. 2024
DELO V PROIZVODNJI,435421,TRBOVLJE,6.2,7.21,"Podjetje išče polnoletne osebe za delo v proizvodnji. Prednost ima kandidat/ka z izkušnjami z delom v proizvodnji (hitrost, timsko delo, ročne spretnosti. . . ). ",3,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,po dogovoru
ANALITSKA DELA,435419,LJUBLJANA,6.45,7.5,"V podjetju potrebujejo visoko motiviranega študenta/ko zaključnih letnikov ali absolventa Fakultete za kemijo in kemijsko tehnologijo, da se pridruži ekipi raziskovalcev za pomoč pri delu v laboratoriju analizne kemije. Delo obsega: pomoč pri pripravi mobilnih faz, vzorcev, izvajanju analiz in podobno. Interesenti naj vlogo pošljejo na kontakt podjetja. Po uvajanju se urna postavka dvigne. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,2. 9. 2024
SVETOVANJE PRI PRODAJI,435418,LJUBLJANA,6.7,7.79,"Če te veseli delo s strankami in imaš strast do notranje opreme, se pridruži ekipi in pridobi dragocene izkušnje (salon pohištva). Delo obsega: svetovanje pri izboru kuhinj in pohištva, izris le tega v prostor, prodajo dodatkov in dekoracije za dom, urejanje prodajalnih polic. Zaželeno je znanje, izkušnje na področju notranje opreme ali dela s strankami. Nudijo stimulativno plačilo (povišanje urne postavke) glede na učinkovitost ter prilagodljiv urnik. ",1,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,po dogovoru
